input_id,round_id,fc1_min_abs_diff,fc1_max_abs_diff,fc1_mean_abs_diff,fc2_min_abs_diff,fc2_max_abs_diff,fc2_mean_abs_diff,fc3_min_abs_diff,fc3_max_abs_diff,fc3_mean_abs_diff,all_layers_max_diff,all_layers_min_of_max,real_input,pred_input,inverse_method
4,3,0.00441586971282959,2.603973388671875,0.9068381786346436,0.06584030389785767,2.709836721420288,0.9533799886703491,0.0,0.0,0.0,2.709836721420288,0.0,"[-1.2301429510116577, 0.7564785480499268, -1.218700647354126, -1.3126027584075928]","[0.23029330372810364, 0.2005181610584259, 0.11306329816579819, -0.3320327401161194]",regularized
5,1,0.007195867598056793,2.7703919410705566,0.9829050898551941,0.1185992956161499,2.9239816665649414,1.0190801620483398,0.0,0.0,0.0,2.9239816665649414,0.0,"[-1.7177306413650513, 0.309299111366272, -1.3906177282333374, -1.3126027584075928]","[0.2015303671360016, 0.19439268112182617, 0.12530545890331268, -0.34519702196121216]",pseudo_inverse
5,2,0.007195867598056793,2.7703919410705566,0.9829050898551941,0.1185992956161499,2.9239816665649414,1.0190801620483398,0.0,0.0,0.0,2.9239816665649414,0.0,"[-1.7177306413650513, 0.309299111366272, -1.3906177282333374, -1.3126027584075928]","[0.2015303671360016, 0.19439268112182617, 0.12530545890331268, -0.34519702196121216]",svd
5,3,0.007195867598056793,2.7719249725341797,0.9828678369522095,0.1185992956161499,2.9330062866210938,1.0205888748168945,0.0,0.0,0.0,2.9330062866210938,0.0,"[-1.7177306413650513, 0.309299111366272, -1.3906177282333374, -1.3126027584075928]","[0.20244884490966797, 0.19378510117530823, 0.12469145655632019, -0.34616923332214355]",regularized
6,1,0.017670094966888428,1.9567573070526123,0.5773209929466248,0.004441395401954651,2.2672667503356934,0.9216906428337097,0.0,0.0,0.0,2.2672667503356934,0.0,"[0.598310649394989, -1.2558289766311646, 0.729692280292511, 0.956642746925354]","[0.2294164001941681, 0.04665200784802437, 0.22528420388698578, 0.227186381816864]",pseudo_inverse
6,2,0.017670094966888428,1.9567573070526123,0.5773209929466248,0.004441395401954651,2.2672667503356934,0.9216906428337097,0.0,0.0,0.0,2.2672667503356934,0.0,"[0.598310649394989, -1.2558289766311646, 0.729692280292511, 0.956642746925354]","[0.2294164001941681, 0.04665200784802437, 0.22528420388698578, 0.227186381816864]",svd
6,3,0.02193629741668701,1.9567573070526123,0.5770442485809326,0.004441395401954651,2.2704732418060303,0.9217156767845154,0.0,0.0,0.0,2.2704732418060303,0.0,"[0.598310649394989, -1.2558289766311646, 0.729692280292511, 0.956642746925354]","[0.22806239128112793, 0.04733249545097351, 0.22529557347297668, 0.22728905081748962]",regularized
7,1,0.006895020604133606,0.9875867366790771,0.31640833616256714,0.020132161676883698,1.2937126159667969,0.4313012659549713,0.0,0.0,0.0,1.2937126159667969,0.0,"[0.7202075719833374, 0.309299111366272, 0.4431639015674591, 0.4227026104927063]","[0.02353879064321518, 0.04493597894906998, 0.27185842394828796, 0.10137172788381577]",pseudo_inverse
7,2,0.006895020604133606,0.9875867366790771,0.31640833616256714,0.020132161676883698,1.2937126159667969,0.4313012659549713,0.0,0.0,0.0,1.2937126159667969,0.0,"[0.7202075719833374, 0.309299111366272, 0.4431639015674591, 0.4227026104927063]","[0.02353879064321518, 0.04493597894906998, 0.27185842394828796, 0.10137172788381577]",svd
7,3,0.006895020604133606,0.9848257899284363,0.31635457277297974,0.020132161676883698,1.2955591678619385,0.4312261939048767,0.0,0.0,0.0,1.2955591678619385,0.0,"[0.7202075719833374, 0.309299111366272, 0.4431639015674591, 0.4227026104927063]","[0.02318442612886429, 0.04498390480875969, 0.2721625566482544, 0.1017274409532547]",regularized
8,1,0.031291574239730835,2.4614474773406982,0.8756234645843506,0.11291274428367615,2.597663640975952,0.9223313927650452,0.0,0.0,0.0,2.597663640975952,0.0,"[-0.7425553202629089, 0.9800682663917542, -1.2760063409805298, -1.3126027584075928]","[0.23875342309474945, 0.20480206608772278, 0.11404094099998474, -0.3316260576248169]",pseudo_inverse
